Approved Symbol	Approved Name	Previous Symbols	Synonyms	Chromosome
OR1L8	olfactory receptor, family 1, subfamily L, member 8			9q33.2
OR1M1	olfactory receptor, family 1, subfamily M, member 1		OR19-6	19p13.2
OR1M4P	olfactory receptor, family 1, subfamily M, member 4 pseudogene			19p13.2
OR1N1	olfactory receptor, family 1, subfamily N, member 1	OR1N3	OR1-26	9q34.11
OR1N2	olfactory receptor, family 1, subfamily N, member 2			9q33.2
OR1N3~withdrawn	symbol withdrawn, see OR1N1			
OR1P1	olfactory receptor, family 1, subfamily P, member 1 (gene/pseudogene)	OR1P1P	OR17-208	17p13.3
OR1Q1	olfactory receptor, family 1, subfamily Q, member 1	OR1Q2, OR1Q3	OST226, OR9-A, HSTPCR106, OST226OR9-A, TPCR106	9q33.2
OR1Q2~withdrawn	symbol withdrawn, see OR1Q1			
OR1Q3~withdrawn	symbol withdrawn, see OR1Q1			
OR1R1P	olfactory receptor, family 1, subfamily R, member 1 pseudogene	OR20A1P, OR1R2P, OR1R3P	OR17-1	17p13.3
OR1R2P~withdrawn	symbol withdrawn, see OR1R1P			
OR1R3P~withdrawn	symbol withdrawn, see OR1R1P			
OR1S1	olfactory receptor, family 1, subfamily S, member 1		OST034	11q12.1
OR1S2	olfactory receptor, family 1, subfamily S, member 2			11q12.1
OR1X1P	olfactory receptor, family 1, subfamily X, member 1 pseudogene			5q35.2
OR1X5P	olfactory receptor, family 1, subfamily X, member 5 pseudogene			5q35.3
OR2A1	olfactory receptor, family 2, subfamily A, member 1			7q35
OR2A1-AS1	OR2A1 antisense RNA 1			7q35
OR2A2	olfactory receptor, family 2, subfamily A, member 2	OR2A2P, OR2A17P	OST008	7q35
OR2A3P	olfactory receptor, family 2, subfamily A, member 3 pseudogene			7q35
OR2A4	olfactory receptor, family 2, subfamily A, member 4	OR2A10		6q23
OR2A5	olfactory receptor, family 2, subfamily A, member 5	OR2A8, OR2A26	OR7-138, OR7-141	7q35
OR2A6~withdrawn	symbol withdrawn, see OR2A14			
OR2A7	olfactory receptor, family 2, subfamily A, member 7		HSDJ0798C17	7q35
OR2A8~withdrawn	symbol withdrawn, see OR2A5			
OR2A9P	olfactory receptor, family 2, subfamily A, member 9 pseudogene	OR2A9	HSDJ0798C17	7q35
OR2A10~withdrawn	symbol withdrawn, see OR2A4			
OR2A11P~withdrawn	entry withdrawn			
OR2A12	olfactory receptor, family 2, subfamily A, member 12	OR2A12P		7q35
OR2A13P	olfactory receptor, family 2, subfamily A, member 13 pseudogene			7q35
OR2A14	olfactory receptor, family 2, subfamily A, member 14	OR2A14P, OR2A6	OST182	7q35
OR2A15P	olfactory receptor, family 2, subfamily A, member 15 pseudogene	OR2A28P		7q35
OR2A16P~withdrawn	entry withdrawn			
OR2A17P~withdrawn	symbol withdrawn, see OR2A2			
OR2A18P~withdrawn	entry withdrawn			
OR2A19~withdrawn	entry withdrawn			
OR2A20P	olfactory receptor, family 2, subfamily A, member 20 pseudogene	OR2A20		7q35
OR2A21~withdrawn	entry withdrawn			
OR2A22P~withdrawn	entry withdrawn			
OR2A23P~withdrawn	entry withdrawn			
OR2A24P~withdrawn	entry withdrawn			
OR2A25	olfactory receptor, family 2, subfamily A, member 25	OR2A25P, OR2A27		7q35
OR2A26~withdrawn	symbol withdrawn, see OR2A5			
OR2A27~withdrawn	symbol withdrawn, see OR2A25			
OR2A28P~withdrawn	symbol withdrawn, see OR2A15P			
OR2A41P	olfactory receptor, family 2, subfamily A, member 41 pseudogene			7q35
OR2A42	olfactory receptor, family 2, subfamily A, member 42			7q35
OR2AD1P	olfactory receptor, family 2, subfamily AD, member 1 pseudogene		OR2AD1, hs6M1-8P	6p22.1
OR2AE1	olfactory receptor, family 2, subfamily AE, member 1	OR2AE2		7q22.1
OR2AE2~withdrawn	symbol withdrawn, see OR2AE1			
OR2AF1P	olfactory receptor, family 2, subfamily AF, member 1 pseudogene	OR2AF2P		Xq26.2
OR2AF2P~withdrawn	symbol withdrawn, see OR2AF1P			
OR2AG1	olfactory receptor, family 2, subfamily AG, member 1	OR2AG3		11p15.4
OR2AG2	olfactory receptor, family 2, subfamily AG, member 2	OR2AG2P		11p15.4
OR2AG3~withdrawn	symbol withdrawn, see OR2AG1			
OR2AH1P	olfactory receptor, family 2, subfamily AH, member 1 pseudogene			11q12.1
OR2AI1P	olfactory receptor, family 2, subfamily AI, member 1 pseudogene			5q35.3
OR2AJ1	olfactory receptor, family 2, subfamily AJ, member 1	OR2AJ1P	OR2AJ1Q	1q44
OR2AK1P~withdrawn	symbol withdrawn, see OR2AK2			
OR2AK2	olfactory receptor, family 2, subfamily AK, member 2	OR2AK1P		1q44
OR2AL1P	olfactory receptor, family 2, subfamily AL, member 1 pseudogene			11q22.3
OR2AM1P	olfactory receptor, family 2, subfamily AM, member 1 pseudogene			9p13.3
OR2AN1P~withdrawn	entry withdrawn			
OR2AO1P	olfactory receptor, family 2, subfamily AO, member 1 pseudogene			7q35
OR2AP1	olfactory receptor, family 2, subfamily AP, member 1	OR2AP1P		12q13.2
OR2AQ1P	olfactory receptor, family 2, subfamily AQ, member 1 pseudogene			1q23.1
OR2AR1P~withdrawn	symbol withdrawn, see OR2K2			
OR2AS1P	olfactory receptor, family 2, subfamily AS, member 1 pseudogene			1q44
OR2AS2P	olfactory receptor, family 2, subfamily AS, member 2 pseudogene			1q44
OR2AT1P	olfactory receptor, family 2, subfamily AT, member 1 pseudogene			11q13.4
OR2AT2P	olfactory receptor, family 2, subfamily AT, member 2 pseudogene			11q13.5
OR2AT4	olfactory receptor, family 2, subfamily AT, member 4			11q13.4
OR2AU1P~withdrawn	symbol withdrawn, see OR2U1P			
OR2B1P~withdrawn	symbol withdrawn, see OR2B6			
OR2B1~withdrawn	symbol withdrawn, see OR2B6			
OR2B2	olfactory receptor, family 2, subfamily B, member 2	OR2B9	hs6M1-10, OR6-1, OR2B2Q	6p22.3-p21.3
OR2B3	olfactory receptor, family 2, subfamily B, member 3	OR2B3P	OR6-4	6p22.2-p21.31
OR2B4P	olfactory receptor, family 2, subfamily B, member 4 pseudogene		hs6M1-22	6p22.2-p21.32
OR2B5~withdrawn	symbol withdrawn, see OR2B6			
OR2B6	olfactory receptor, family 2, subfamily B, member 6	OR2B6P, OR2B1, OR2B1P, OR2B5	OR6-31, dJ408B20.2, OR5-40, OR5-41	6p22.1
OR2B7P	olfactory receptor, family 2, subfamily B, member 7 pseudogene		hs6M1-31P	6p22.1
OR2B8P	olfactory receptor, family 2, subfamily B, member 8 pseudogene	OR2B8	hs6M1-29P	6p22.1
OR2B9~withdrawn	symbol withdrawn, see OR2B2			
OR2B11	olfactory receptor, family 2, subfamily B, member 11			1q44
OR2BH1P	olfactory receptor, family 2, subfamily BH, member 1 pseudogene			11p14.1
OR2C1	olfactory receptor, family 2, subfamily C, member 1	OR2C2P	OLFmf3	16p13.3
OR2C2P~withdrawn	symbol withdrawn, see OR2C1			
OR2C3	olfactory receptor, family 2, subfamily C, member 3	OR2C4, OR2C5P	OST742	1q44
OR2C4~withdrawn	symbol withdrawn, see OR2C3			
OR2C5P~withdrawn	symbol withdrawn, see OR2C3			
OR2D1~withdrawn	symbol withdrawn, see OR2D2			
OR2D2	olfactory receptor, family 2, subfamily D, member 2	OR2D1	OR11-610, hg27	11p15.4
OR2D3	olfactory receptor, family 2, subfamily D, member 3			11p15.4
OR2E1P	olfactory receptor, family 2, subfamily E, member 1 pseudogene	OR2E1, OR2E2	hs6M1-9, hs6M1-9p, HS29K1, HSNH0569I24	6p22-p21.3
OR2E1~withdrawn	symbol withdrawn, see OR2E1P			
OR2E2~withdrawn	symbol withdrawn, see OR2E1P			
OR2F1	olfactory receptor, family 2, subfamily F, member 1 (gene/pseudogene)	OR2F4, OR2F5, OR2F3, OR2F3P	OLF3, OR7-140, OR7-139, OR14-60	7q35
OR2F2	olfactory receptor, family 2, subfamily F, member 2		OR7-1	7q33-q35
OR2F3~withdrawn	symbol withdrawn, see OR2F1			
OR2F4~withdrawn	symbol withdrawn, see OR2F1			
OR2F5~withdrawn	symbol withdrawn, see OR2F1			
OR2G1P	olfactory receptor, family 2, subfamily G, member 1 pseudogene		OST619, hs6M1-25	6p22.2-p21.32
OR2G2	olfactory receptor, family 2, subfamily G, member 2			1q44
OR2G3	olfactory receptor, family 2, subfamily G, member 3			1q44
OR2G6	olfactory receptor, family 2, subfamily G, member 6			1q44
OR2H1	olfactory receptor, family 2, subfamily H, member 1	OR2H6, OR2H8	OR6-2	6p22.1
OR2H2	olfactory receptor, family 2, subfamily H, member 2		hs6M1-12	6p22.2-p21.31
OR2H3~withdrawn	entry withdrawn			
OR2H4P	olfactory receptor, family 2, subfamily H, member 4 pseudogene		OR6-3, OR2H4, hs6M1-7, dJ80I19.6	6p22.2-p21.31
OR2H5P	olfactory receptor, family 2, subfamily H, member 5 pseudogene		OR2H5, hs6M1-13, HS271M21	6p22.2-p21.31
OR2H6~withdrawn	symbol withdrawn, see OR2H1			
OR2H7~withdrawn	entry withdrawn			
OR2H8~withdrawn	symbol withdrawn, see OR2H1			
OR2I1P	olfactory receptor, family 2, subfamily I, member 1 pseudogene	OR2I1, OR2I3P, OR2I4P, OR2I2	HS6M1-14	6p22.1
OR2I2~withdrawn	symbol withdrawn, see OR2I1P			
OR2I3P~withdrawn	symbol withdrawn, see OR2I1P			
OR2I4P~withdrawn	symbol withdrawn, see OR2I1P			
OR2I5P~withdrawn	entry withdrawn			
OR2I6~withdrawn	entry withdrawn			
OR2I7P~withdrawn	entry withdrawn			
OR2I8P~withdrawn	entry withdrawn			
OR2I9P~withdrawn	entry withdrawn			
OR2J1	olfactory receptor, family 2, subfamily J, member 1 (gene/pseudogene)	OR2J1P	OR6-5, hs6M1-4, dJ80I19.2	6p22.2-p21.31
OR2J2	olfactory receptor, family 2, subfamily J, member 2		OR6-8, hs6M1-6, dJ80I19.4	6p22.2-p21.31
OR2J3	olfactory receptor, family 2, subfamily J, member 3		OR6-6	6p22.2-p21.31
OR2J4P	olfactory receptor, family 2, subfamily J, member 4 pseudogene		OR6-9, hs6M1-5, dJ80I19.5	6p22.2-p21.31
OR2K1~withdrawn	entry withdrawn			
OR2K2	olfactory receptor, family 2, subfamily K, member 2	OR2AR1P	HTPCRH06, HSHTPCRH06	9q31.3
OR2L1P	olfactory receptor, family 2, subfamily L, member 1 pseudogene	OR2L1, OR2L7P	HTPCRX02, HSHTPCRX02	1q44
OR2L2	olfactory receptor, family 2, subfamily L, member 2	OR2L4P, OR2L12	HTPCRH07, HSHTPCRH07	1q44
OR2L3	olfactory receptor, family 2, subfamily L, member 3			1q44
OR2L4P~withdrawn	symbol withdrawn, see OR2L2			
OR2L5	olfactory receptor, family 2, subfamily L, member 5	OR2L11, OR2L5P		1q44
OR2L6P	olfactory receptor, family 2, subfamily L, member 6 pseudogene			1q44
OR2L7P~withdrawn	symbol withdrawn, see OR2L1P			
OR2L8	olfactory receptor, family 2, subfamily L, member 8 (gene/pseudogene)			1q44
OR2L9P	olfactory receptor, family 2, subfamily L, member 9 pseudogene			1q44
OR2L11~withdrawn	symbol withdrawn, see OR2L5			
OR2L12~withdrawn	symbol withdrawn, see OR2L2			
OR2L13	olfactory receptor, family 2, subfamily L, member 13	OR2L14		1q44
OR2L14~withdrawn	symbol withdrawn, see OR2L13			
OR2M1P	olfactory receptor, family 2, subfamily M, member 1 pseudogene	OR2M1	OST037	1q44
OR2M2	olfactory receptor, family 2, subfamily M, member 2		OST423, OR2M2Q	1q44
OR2M3	olfactory receptor, family 2, subfamily M, member 3	OR2M6, OR2M3P	OST003	1q44
OR2M4	olfactory receptor, family 2, subfamily M, member 4		HTPCRX18, TPCR100, HSHTPCRX18, OST710	1q44
OR2M5	olfactory receptor, family 2, subfamily M, member 5	OR2M5P		1q44
OR2M6~withdrawn	symbol withdrawn, see OR2M3			
OR2M7	olfactory receptor, family 2, subfamily M, member 7			1q44
OR2N1P	olfactory receptor, family 2, subfamily N, member 1 pseudogene		OR6-7	6p22.2-p21.31
OR2P1P	olfactory receptor, family 2, subfamily P, member 1 pseudogene		hs6M1-26	6p22.1
OR2Q1P	olfactory receptor, family 2, subfamily Q, member 1 pseudogene		OR7-2	7q33-q35
OR2R1P	olfactory receptor, family 2, subfamily R, member 1, pseudogene	OR2R1	OST058	7q35
OR2S1P	olfactory receptor, family 2, subfamily S, member 1 pseudogene		OST611	9p13.3
OR2S2	olfactory receptor, family 2, subfamily S, member 2			9p13.3
OR2T1	olfactory receptor, family 2, subfamily T, member 1		OR1-25	1q44
OR2T2	olfactory receptor, family 2, subfamily T, member 2	OR2T2P		1q44
OR2T3	olfactory receptor, family 2, subfamily T, member 3			1q44
OR2T4	olfactory receptor, family 2, subfamily T, member 4		OR2T4Q	1q44
OR2T5	olfactory receptor, family 2, subfamily T, member 5			1q44
OR2T6	olfactory receptor, family 2, subfamily T, member 6	OR2T6P, OR2T9	OST703	1q44
OR2T7	olfactory receptor, family 2, subfamily T, member 7	OR2T7P	OST723	1q44
OR2T8	olfactory receptor, family 2, subfamily T, member 8	OR2T8P		1q44
OR2T9~withdrawn	symbol withdrawn, see OR2T6			
OR2T10	olfactory receptor, family 2, subfamily T, member 10			1q44
OR2T11	olfactory receptor, family 2, subfamily T, member 11 (gene/pseudogene)		OR2T11Q	1q44
OR2T12	olfactory receptor, family 2, subfamily T, member 12			1q44
OR2T27	olfactory receptor, family 2, subfamily T, member 27			1q44
OR2T29	olfactory receptor, family 2, subfamily T, member 29			1q44
OR2T32P	olfactory receptor, family 2, subfamily T, member 32 pseudogene			1q44
OR2T33	olfactory receptor, family 2, subfamily T, member 33			1q44
OR2T34	olfactory receptor, family 2, subfamily T, member 34			1q44
OR2T35	olfactory receptor, family 2, subfamily T, member 35			1q44
OR2U1P	olfactory receptor, family 2, subfamily U, member 1 pseudogene	OR2AU1P	hs6M1-24	6p22.2-p21.32
OR2U2P	olfactory receptor, family 2, subfamily U, member 2 pseudogene		hs6M1-23	6p22.2-p21.32
OR2V1	olfactory receptor, family 2, subfamily V, member 1	OR2V1P	OST265	5q35.3
OR2V2	olfactory receptor, family 2, subfamily V, member 2	OR2V3	OST713	5q35.3
OR2V3~withdrawn	symbol withdrawn, see OR2V2			
OR2W1	olfactory receptor, family 2, subfamily W, member 1		hs6M1-15	6p22.1
OR2W2P	olfactory receptor, family 2, subfamily W, member 2 pseudogene		hs6M1-30P	6p22.1
OR2W3	olfactory receptor, family 2, subfamily W, member 3	OR2W8P, OR2W3P	OST718	1q44
OR2W4P	olfactory receptor, family 2, subfamily W, member 4 pseudogene			6p22.1
OR2W5	olfactory receptor, family 2, subfamily W, member 5 (gene/pseudogene)	OR2W5P	OST722	1q44
OR2W6P	olfactory receptor, family 2, subfamily W, member 6 pseudogene	OR2W7P		6p22.1
OR2W7P~withdrawn	symbol withdrawn, see OR2W6P			
OR2W8P~withdrawn	symbol withdrawn, see OR2W3			
OR2X1P	olfactory receptor, family 2, subfamily X, member 1 pseudogene			1q44
OR2Y1	olfactory receptor, family 2, subfamily Y, member 1			5q35
OR2Z1	olfactory receptor, family 2, subfamily Z, member 1	OR2Z2		19p13.2
OR2Z2~withdrawn	symbol withdrawn, see OR2Z1			
OR3A1	olfactory receptor, family 3, subfamily A, member 1		OLFRA03, OR40, OR17-40	17p13.3
OR3A2	olfactory receptor, family 3, subfamily A, member 2		OLFRA04, OR228, OR17-228	17p13.3
OR3A3	olfactory receptor, family 3, subfamily A, member 3	OR3A6, OR3A7, OR3A8P	OR17-201, OR17-137, OR17-16	17p13.3
OR3A4P	olfactory receptor, family 3, subfamily A, member 4 pseudogene	OR3A4		17p13.3
OR3A4~withdrawn	symbol withdrawn, see OR3A4P			
OR3A5P	olfactory receptor, family 3, subfamily A, member 5 pseudogene		OLFRA06, OR25, OR17-25, RP11-64J4.6-001	17p13.3
OR3A6~withdrawn	symbol withdrawn, see OR3A3			
OR3A7~withdrawn	symbol withdrawn, see OR3A3			
OR3A8P~withdrawn	symbol withdrawn, see OR3A3			
OR3B1P	olfactory receptor, family 3, subfamily B, member 1 pseudogene			Xq28
OR3D1P	olfactory receptor, family 3, subfamily D, member 1 pseudogene			1q44
OR4A1P	olfactory receptor, family 4, subfamily A, member 1 pseudogene	OR4A20P	OR11-30	11p11.12
OR4A2P	olfactory receptor, family 4, subfamily A, member 2 pseudogene			11p11.12
OR4A3P	olfactory receptor, family 4, subfamily A, member 3 pseudogene			11p11.12
OR4A4P	olfactory receptor, family 4, subfamily A, member 4 pseudogene	OR4A4		11p11.12
OR4A5	olfactory receptor, family 4, subfamily A, member 5			11p11.12
OR4A6P	olfactory receptor, family 4, subfamily A, member 6 pseudogene			11p11.12
OR4A7P	olfactory receptor, family 4, subfamily A, member 7 pseudogene			11p11.12
OR4A8	olfactory receptor, family 4, subfamily A, member 8 (gene/pseudogene)	OR4A8P		11p11.12
OR4A9P	olfactory receptor, family 4, subfamily A, member 9 pseudogene			11q11
OR4A10P	olfactory receptor, family 4, subfamily A, member 10 pseudogene	OR4A25P		11q11
OR4A11P	olfactory receptor, family 4, subfamily A, member 11 pseudogene			11q11
OR4A12P	olfactory receptor, family 4, subfamily A, member 12 pseudogene			11q11
OR4A13P	olfactory receptor, family 4, subfamily A, member 13 pseudogene			11q11
OR4A14P	olfactory receptor, family 4, subfamily A, member 14 pseudogene			11q11
OR4A15	olfactory receptor, family 4, subfamily A, member 15			11q11
OR4A16	olfactory receptor, family 4, subfamily A, member 16		OR4A16Q	11q11
OR4A17P	olfactory receptor, family 4, subfamily A, member 17 pseudogene	OR4A22P		11q11
OR4A18P	olfactory receptor, family 4, subfamily A, member 18 pseudogene			11p11.12
OR4A19P	olfactory receptor, family 4, subfamily A, member 19 pseudogene			11p11.12
OR4A20P~withdrawn	symbol withdrawn, see OR4A1P			
OR4A21P	olfactory receptor, family 4, subfamily A, member 21 pseudogene			11q11
OR4A22P~withdrawn	symbol withdrawn, see OR4A17P			
OR4A25P~withdrawn	symbol withdrawn, see OR4A10P			
OR4A40P	olfactory receptor, family 4, subfamily A, member 40 pseudogene			11p11.2
OR4A41P	olfactory receptor, family 4, subfamily A, member 41 pseudogene			11p11.2
OR4A42P	olfactory receptor, family 4, subfamily A, member 42 pseudogene			11p11.2
OR4A43P	olfactory receptor, family 4, subfamily A, member 43 pseudogene			11p11.2
OR4A44P	olfactory receptor, family 4, subfamily A, member 44 pseudogene			11p11.2
OR4A45P	olfactory receptor, family 4, subfamily A, member 45 pseudogene			11p11.2
OR4A46P	olfactory receptor, family 4, subfamily A, member 46 pseudogene			11p11.2
OR4A47	olfactory receptor, family 4, subfamily A, member 47			11p11.2
OR4A48P	olfactory receptor, family 4, subfamily A, member 48 pseudogene			11p11.2
OR4A49P	olfactory receptor, family 4, subfamily A, member 49 pseudogene			11p11.12
OR4A50P	olfactory receptor, family 4, subfamily A, member 50 pseudogene			11q11
OR4B1	olfactory receptor, family 4, subfamily B, member 1		OST208	11p11.2
OR4B2P	olfactory receptor, family 4, subfamily B, member 2 pseudogene		hg449	11p11.2
OR4C1P	olfactory receptor, family 4, subfamily C, member 1 pseudogene	OR4C1	HTPCRX11, HSHTPCRX11	11q11
OR4C2P	olfactory receptor, family 4, subfamily C, member 2 pseudogene	OR4C8P		11p11.2
OR4C3	olfactory receptor, family 4, subfamily C, member 3			11p11.2
OR4C4P	olfactory receptor, family 4, subfamily C, member 4 pseudogene	OR4C17P, OR4C17	OR4C47P	11q12.1
OR4C5	olfactory receptor, family 4, subfamily C, member 5 (gene/pseudogene)	OR4C5P	OR4C5Q	11p11.2
OR4C6	olfactory receptor, family 4, subfamily C, member 6			11q11
OR4C7P	olfactory receptor, family 4, subfamily C, member 7 pseudogene			11p11.12
OR4C8P~withdrawn	symbol withdrawn, see OR4C2P			
OR4C9P	olfactory receptor, family 4, subfamily C, member 9 pseudogene			11p11.2
OR4C10P	olfactory receptor, family 4, subfamily C, member 10 pseudogene			11p11.2
OR4C11	olfactory receptor, family 4, subfamily C, member 11	OR4C11P		11q11
OR4C12	olfactory receptor, family 4, subfamily C, member 12			11p11.12
OR4C13	olfactory receptor, family 4, subfamily C, member 13			11p11.12
OR4C14P	olfactory receptor, family 4, subfamily C, member 14 pseudogene			11q11
OR4C15	olfactory receptor, family 4, subfamily C, member 15			11q11
OR4C16	olfactory receptor, family 4, subfamily C, member 16 (gene/pseudogene)			11q11
OR4C17P~withdrawn	symbol withdrawn, see OR4C4P			
OR4C45	olfactory receptor, family 4, subfamily C, member 45			11p11.12
OR4C46	olfactory receptor, family 4, subfamily C, member 46			11p11.12
OR4C48P	olfactory receptor, family 4, subfamily C, member 48 pseudogene			11p11.12
OR4C49P	olfactory receptor, family 4, subfamily C, member 49 pseudogene			11p11.12
OR4C50P	olfactory receptor, family 4, subfamily C, member 50 pseudogene			11p11.12
OR4D1	olfactory receptor, family 4, subfamily D, member 1	OR4D3	TPCR16	17q22
OR4D2	olfactory receptor, family 4, subfamily D, member 2			17q22
OR4D3~withdrawn	symbol withdrawn, see OR4D1			
OR4D4P~withdrawn	entry withdrawn			
OR4D5	olfactory receptor, family 4, subfamily D, member 5			11q24.1
OR4D6	olfactory receptor, family 4, subfamily D, member 6			11q12.1
OR4D7P	olfactory receptor, family 4, subfamily D, member 7 pseudogene		OST724	11q12.1
OR4D8P	olfactory receptor, family 4, subfamily D, member 8 pseudogene			11q12.1
OR4D9	olfactory receptor, family 4, subfamily D, member 9			11q12.1
OR4D10	olfactory receptor, family 4, subfamily D, member 10	OR4D10P	OST711	11q12.1
OR4D11	olfactory receptor, family 4, subfamily D, member 11	OR4D11P		11q12.1
OR4D12P	olfactory receptor, family 4, subfamily D, member 12 pseudogene	OR7E103P		4p16.3
OR4E1	olfactory receptor, family 4, subfamily E, member 1 (gene/pseudogene)	OR4E1P		14q11.2
OR4E2	olfactory receptor, family 4, subfamily E, member 2			14q11.2
OR4F1P	olfactory receptor, family 4, subfamily F, member 1 pseudogene	OR4F1	HSDJ0609N19	6p25.3
OR4F1~withdrawn	symbol withdrawn, see OR4F1P			
OR4F2P	olfactory receptor, family 4, subfamily F, member 2 pseudogene		OR4F2, hs6M1-11, S191N21	11p15.5
OR4F3	olfactory receptor, family 4, subfamily F, member 3			5q35.3
OR4F4	olfactory receptor, family 4, subfamily F, member 4		OR4F18	15q26.3
OR4F5	olfactory receptor, family 4, subfamily F, member 5			1p36.33
OR4F6	olfactory receptor, family 4, subfamily F, member 6	OR4F12		15q26.3
OR4F7P	olfactory receptor, family 4, subfamily F, member 7 pseudogene	OR4F10		6q27
OR4F8P	olfactory receptor, family 4, subfamily F, member 8 pseudogene	OR4F20P, OR4F9P		19p13.3
OR4F9P~withdrawn	symbol withdrawn, see OR4F8P			
OR4F10~withdrawn	symbol withdrawn, see OR4F7P			
OR4F11P~withdrawn	symbol withdrawn, see OR4F17			
OR4F12~withdrawn	symbol withdrawn, see OR4F6			
OR4F13P	olfactory receptor, family 4, subfamily F, member 13 pseudogene			15q26.3
OR4F14P	olfactory receptor, family 4, subfamily F, member 14 pseudogene	OR4F14		15q26.3
OR4F15	olfactory receptor, family 4, subfamily F, member 15			15q26.3
OR4F16	olfactory receptor, family 4, subfamily F, member 16			1p36.33
OR4F17	olfactory receptor, family 4, subfamily F, member 17	OR4F19, OR4F11P, OR4F18		19p13.3
OR4F18~withdrawn	symbol withdrawn, see OR4F17			
OR4F19~withdrawn	symbol withdrawn, see OR4F17			
OR4F20P~withdrawn	symbol withdrawn, see OR4F8P			
OR4F21	olfactory receptor, family 4, subfamily F, member 21	OR4F21P		8p23.3
OR4F28P	olfactory receptor, family 4, subfamily F, member 28 pseudogene			15q26.3
OR4F29	olfactory receptor, family 4, subfamily F, member 29			1p36.33
OR4G1P	olfactory receptor, family 4, subfamily G, member 1 pseudogene	OR4G8P	OLB	19p13.3
OR4G2P	olfactory receptor, family 4, subfamily G, member 2 pseudogene	OR4G7P		15q26
OR4G3P	olfactory receptor, family 4, subfamily G, member 3 pseudogene	OR4G3, OR4G5P	OLC, OLC-7501	19p13.3
OR4G4P	olfactory receptor, family 4, subfamily G, member 4 pseudogene			1p36.33
OR4G5P~withdrawn	symbol withdrawn, see OR4G3P			
OR4G6P	olfactory receptor, family 4, subfamily G, member 6 pseudogene			15q26.3
OR4G7P~withdrawn	symbol withdrawn, see OR4G2P			
OR4G8P~withdrawn	symbol withdrawn, see OR4G1P			
OR4G11P	olfactory receptor, family 4, subfamily G, member 11 pseudogene			1p36.33
OR4H1P~withdrawn	symbol withdrawn, see OR4H6P			
OR4H2P~withdrawn	symbol withdrawn, see OR4H6P			
OR4H3P~withdrawn	symbol withdrawn, see OR4H6P			
OR4H4P~withdrawn	symbol withdrawn, see OR4H6P			
OR4H5P~withdrawn	symbol withdrawn, see OR4H6P			
OR4H6P	olfactory receptor, family 4, subfamily H, member 6 pseudogene	OR4H9P, OR4H10P, OR4H5P, OR4H11P, OR4H5, OR4H7, OR4H7P, OR4H2P, OR4H3P, OR4H11, OR4H2, OR4H3, OR4H1P, OR4H4P, OR4H10, OR4H4, OR4H8P, OR4H8	OR15-71, OR4H6, OR15-82, OR4H9, OR5-39, OR5-84, OR4-114, OR4-115, OR4-119, OR15-69, OR15-80, OR15-81, OR14-58	15q11.2
OR4H7P~withdrawn	symbol withdrawn, see OR4H6P			
OR4H8P~withdrawn	symbol withdrawn, see OR4H6P			
OR4H9P~withdrawn	symbol withdrawn, see OR4H6P			
OR4H10P~withdrawn	symbol withdrawn, see OR4H6P			
OR4H11P~withdrawn	symbol withdrawn, see OR4H6P			
OR4H12P	olfactory receptor, family 4, subfamily H, member 12 pseudogene	OR4H12	C14orf14	14p13
OR4K1	olfactory receptor, family 4, subfamily K, member 1			14q11.2
OR4K2	olfactory receptor, family 4, subfamily K, member 2			14q11.2
OR4K3	olfactory receptor, family 4, subfamily K, member 3 (gene/pseudogene)	OR4K3P		14q11.2
OR4K4P	olfactory receptor, family 4, subfamily K, member 4 pseudogene			14q11.2
OR4K5	olfactory receptor, family 4, subfamily K, member 5			14q11.22
OR4K6P	olfactory receptor, family 4, subfamily K, member 6 pseudogene			14q11.2
OR4K7P	olfactory receptor, family 4, subfamily K, member 7 pseudogene	OR4K10P		18p11.21
OR4K8P	olfactory receptor, family 4, subfamily K, member 8 pseudogene	OR4K9P		18p11.21
OR4K9P~withdrawn	symbol withdrawn, see OR4K8P			
OR4K10P~withdrawn	symbol withdrawn, see OR4K7P			
OR4K11P	olfactory receptor, family 4, subfamily K, member 11 pseudogene		OR21-1	21q11.2
OR4K12P	olfactory receptor, family 4, subfamily K, member 12 pseudogene		OR21-2	21q11.1
OR4K13	olfactory receptor, family 4, subfamily K, member 13			14q11.2
OR4K14	olfactory receptor, family 4, subfamily K, member 14			14q11.2
OR4K15	olfactory receptor, family 4, subfamily K, member 15		OR4K15Q	14q11.2
OR4K16P	olfactory receptor, family 4, subfamily K, member 16 pseudogene			14q11.2
OR4K17	olfactory receptor, family 4, subfamily K, member 17			14q11.2
OR4L1	olfactory receptor, family 4, subfamily L, member 1	OR4L2P		14q11.2
OR4L2P~withdrawn	symbol withdrawn, see OR4L1			
OR4M1	olfactory receptor, family 4, subfamily M, member 1			14q11.2
OR4M2	olfactory receptor, family 4, subfamily M, member 2			15q11.2
OR4N1P	olfactory receptor, family 4, subfamily N, member 1 pseudogene			14q11.2
OR4N2	olfactory receptor, family 4, subfamily N, member 2			14q11.2
OR4N3P	olfactory receptor, family 4, subfamily N, member 3 pseudogene			15q11.2
OR4N4	olfactory receptor, family 4, subfamily N, member 4			15q11.2
OR4N5	olfactory receptor, family 4, subfamily N, member 5			14q11.2
OR4P1P	olfactory receptor, family 4, subfamily P, member 1 pseudogene			11q11
OR4P2P~withdrawn	entry withdrawn			
